22:48:39: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized


22:48:39: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | main | 106] Connected!

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:39

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:40

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:41

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:42

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:43

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:44

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:45

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:46

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:47

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: DISCONNECTED at 22:48:48

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: DISCONNECTED at 22:48:50

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: DISCONNECTED at 22:48:51

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: DISCONNECTED at 22:48:52

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:53

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:54

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:55

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:56

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:57

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:58

22:49:00: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 67] STATUS: CONNECTED at 22:48:59

